day,variant,total_alerts,z-score-outlier,Step-Change Detected,Variance Regime Change
20260514,default,484,276,208,0.0
20260515,default,478,262,216,0.0
20260516,default,478,269,209,0.0
20260517,default,490,274,216,0.0
20260518,default,494,274,220,0.0
20260519,default,482,277,205,0.0
20260520,default,497,276,221,0.0
20260521,default,513,284,229,0.0
20260522,default,516,280,236,0.0
20260523,default,474,262,212,0.0
20260524,default,491,273,218,0.0
20260525,default,470,269,201,0.0
20260526,default,487,271,216,0.0
20260527,default,494,268,226,0.0
20260528,default,477,267,210,0.0
20260529,default,488,267,221,0.0
20260530,default,484,263,221,0.0
20260531,default,481,269,212,0.0
20260601,default,454,256,198,0.0
20260602,default,473,265,208,0.0
20260603,default,498,281,217,0.0
20260604,default,510,276,234,0.0
20260605,default,481,272,209,0.0
20260606,default,498,273,225,0.0
20260607,default,495,276,219,0.0
20260608,default,472,278,194,0.0
20260609,default,503,274,229,0.0
20260610,default,486,267,219,0.0
20260611,default,457,256,201,0.0
20260612,default,500,265,235,0.0
20260613,default,478,269,209,0.0
